class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,428,,24,14,0,0,0,0,14330,7796,15670,9560,3126,0,0,0,9112,0,0,0,18126,24460,37974,46722,46400,772,0,0,0,0,110,88,0,0,0,0,0,0,0,13500,36982,0,1594,570,844,3752,1248,42466,8,0,0,0,27172,9846,7864,3802,784,240,172,566,30,6,102650,16,8,24,0,9112,632,35988,9206,,,,,,,,,45080,427.73,102650,102650,101436,182,0,6876,101500,50482,1209600,1440,0,14,0,26216.64,0,18088.32,14,44,10236,10490,14788,9254,4370,1310,34,0,0,0,6,10,102650,,1214,38,270,2488,2840,38894,4738,0,0,0,60,292,26002,7962,0,0,0,0,27828,138,180,0,0,0,0,0,0,0,0,1098,0,2,0,0,598,118,2600,260,0,0,0,0,0,126.02,138,19956,11962,3642,1288,2216,2170,2102,7112,34,0,0,0
neg,28,0,2130706432,36,0,0,0,0,0,0,20,2888,9340,830,0,0,4886,0,0,0,0,0,8724,1604,20914,3236,0,0,0,0,14,34,0,0,0,0,0,0,0,6230,6848,0,190,80,488,854,310,6106,5050,0,0,0,11018,800,190,108,108,74,52,384,182,162,29666,0,0,0,0,4886,310,13474,7312,,,,,,,,,20620,28.49,29666,29666,30398,36,0,2652,29300,13154,1209600,536,2,4,0,4005.12,0,8163.84,10,32,0,0,0,380,7478,4130,1052,38,0,0,2,6,29666,0,1050,32,20,788,402,5080,5388,316,2,0,52,52,4950,82,0,8,0,0,5082,230,10,0,0,0,0,0,0,0,0,380,0,0,5034,914,186,42,9420,944,14022,32,0,0,0,1.02,64,9368,2752,358,118,248,42,48,144,0,0,0,0
neg,72166,,2130706432,712,0,0,0,0,0,0,3574,474104,2802616,1418726,134128,11312,2195246,0,0,0,0,0,4213406,3533684,889088,586476,0,0,582,0,532,196,0,0,0,0,0,94508,1942742,2199036,608174,0,6108,4972,8414,25298,273092,4525894,682,0,0,0,1325928,1387580,427716,319616,257066,216464,293132,616900,58,0,5103198,244,434,2138,26,2195246,77892,466828,421226,184020,244620,217240,188620,,,,,46660,72166.95,5103198,5103198,5088362,34281,8640,19410,253840,4844460,1209600,149080,2,52,0,4076911.68,0,761350.08,64,898,0,0,0,136828,1289318,2516730,848568,46308,6484,224,532,544,5103198,,6896,804,131486,358848,236614,2997014,1086684,25726,388,0,826,1234,3785456,301412,0,8944,0,10,4114976,3704,268,0,0,0,0,0,0,0,0,48478,71722,29340,0,0,129858,26872,10710620,1255556,4906500,1990,0,0,1060270,2024.56,1900,792042,775512,654414,328912,663990,652682,449274,252822,265162,9650,0,0
neg,182242,4,2130706466,762,0,0,0,0,0,6618,1258600,5911192,2882016,485980,43176,2910,4838910,0,0,0,11864,15286,9652514,8670056,3363896,848770,0,0,0,0,840,2284,0,0,0,0,0,0,954570,9519860,116062,0,6760,8828,12590,18636,107686,10315802,120190,0,0,0,4949280,1584864,1047166,637182,511848,455220,328666,323680,307740,444846,13028964,5874,8566,28686,4,4838910,113438,2552530,809046,330800,329060,239160,310540,321120,363660,313420,317460,231800,182241.81,13028964,13028964,12952858,57642,15050,83910,921280,10668628,1209600,345488,2,196,0,9165455.04,0,1495015.68,628,2404,0,0,24744,568884,2369078,3956228,1935688,1049368,620708,65794,0,2120,13028964,0,12138,1326,1096288,627168,659076,7479964,695790,18662,80,0,606,3822,8924756,3793888,0,16548,0,0,9247662,9380,1566,0,0,0,0,0,0,0,0,53670,37830,22864,26369110,3317320,312770,55264,14280880,1563542,12313258,126672,0,0,22299730,33.46,3248,1579818,1356122,849898,374614,680890,645142,799282,4130284,174084,358,0,0
neg,150,2,76,66,0,0,0,0,0,0,7448,35216,950,0,0,0,25374,0,0,0,2364,4562,69444,62230,27606,3810,0,0,0,0,6,50,0,0,0,0,0,0,0,35258,8356,0,226,42,38,30,34,1786,41458,0,0,0,40480,1360,526,342,206,326,206,150,18,0,99494,16,8,0,6,25374,592,18398,9028,,,,,,,,,26780,150.14,99494,99494,98936,121,4,9540,98660,74776,1209600,1122,2,14,0,14577.6,44592.96,14172.48,0,46,0,0,4792,32944,5294,558,22,4,0,0,0,10,99494,0,312,28,36,906,6044,24358,11684,246,0,0,36,108,14020,2824,0,116,0,0,16470,188,128,0,0,100,44678,0,0,0,0,740,0,0,0,0,0,0,0,0,83218,134,0,0,0,391.3,192,38060,2626,478,286,370,1752,42,0,0,0,0,0
neg,35720,,2130706442,1296,0,0,0,0,0,0,1882,29936,1365178,1156156,106736,5212,1210712,0,52,0,0,0,2104046,1560396,725718,453762,0,0,0,0,7784,1670,0,0,0,0,0,2958,191574,2470560,8,0,2820,1926,1920,2664,148532,2506564,674,0,0,0,1084684,642408,238814,170964,118392,86850,102592,220396,0,0,2830586,334,2268,2900,32,1210712,45226,160798,559630,322920,244820,,,,,,,149020,35719.07,2830586,2830586,2807194,15722,654,33308,402540,2665100,1209600,72420,0,88,0,1951944.96,0,709878.72,0,470,0,0,0,3394,551986,1299604,741722,59874,8160,360,34,40,2830586,,6416,824,76710,363400,180242,1046896,966606,23974,32,0,1554,6012,1944298,663462,0,286,0,0,1965600,4206,1034,0,0,0,0,0,0,0,0,33058,9872,4856,0,0,48372,10276,4050020,412662,2669670,3512,0,0,5719100,1641.16,1844,740372,499556,155492,65990,142894,143912,160932,381182,352768,22002,0,0
neg,28378,,0,,0,0,0,0,0,0,20512,669094,974536,106790,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10262,567500,1193398,0,0,2212,996,1048,3846,1174126,588578,354,0,0,0,630282,433008,138788,95504,81578,305612,86386,0,0,0,0,0,366,58,12,0,0,0,0,,,,,,,,,0,28377.49,0,0,1896240,11421,53294,0,0,1771180,1209600,0,,,,1617871.68,0,151029.12,0,0,0,0,4532,95530,695724,778996,178590,12212,4866,710,,0,0,,3896,550,14034,120358,84410,971512,558556,17704,138,0,,,,,,,,,,1714,44,0,0,0,0,0,0,0,0,0,25528,4754,0,0,69224,11574,2361200,440728,0,0,0,0,0,939.92,1280,161364,397110,206750,102634,206336,204598,166000,110270,203148,12950,0,0
pos,596296,,0,,0,0,0,0,0,0,132170,5785328,21794594,7609434,156074,1312,17534970,605032,0,0,386,634,28893106,23205882,8357862,5283692,0,0,0,0,0,0,0,0,0,0,0,117450,7266308,23956396,4138758,0,36170,44652,84502,149784,21763240,13399538,982,38,6,0,12117468,5250632,2844960,2854818,3235574,3557714,3288228,1916798,401986,10734,37254098,2188,8496,1692,934,17534970,416404,3685644,4643538,686620,662520,489780,353640,295620,331220,409300,561940,552500,596295.32,37254098,37254098,36968860,257691,1213352,61462,922800,35478912,1209600,0,,,,30910719.36,0,4541101.44,,,0,0,12390,2344134,15144402,15407296,2350602,178588,39366,2134,,1340,37254098,,23084,4052,2282938,1521548,4122270,24244808,3226838,53362,12,0,,,,,,,,,,15956,514,0,0,0,2,0,0,0,0,269648,545274,97428,0,0,1086934,176886,42934060,7936840,0,0,0,0,203773900,,,4699886,5302518,4077866,1962878,3965324,3320514,3078222,2719420,5933718,418566,0,0
neg,652142,,0,,0,0,0,0,0,0,256438,7815860,26727896,9535998,294024,1378,21020362,30076,0,0,2058,3646,37733788,31667316,10698198,5203062,0,0,1482,0,0,0,0,0,0,0,0,59862,7288230,35360378,1923124,0,139468,156968,215036,1919704,32257728,9942350,258,38,18,26,17891536,6933072,3968810,2838156,2114698,1906978,2875928,4729522,1306238,66656,48443438,986,4536,1388,2250,21020362,650042,5306224,5336394,417100,378200,346420,346540,328600,341660,360180,374180,489140,652142.52,48443438,48443438,47827394,304181,3418544,39956,1164700,44631594,1209600,0,,,,38399425.92,0,6174924.48,0,0,1261898,644820,542286,3487872,15363668,18696036,4184696,384076,63300,2942,,0,48443438,,45470,8510,2556318,3543870,2711332,29994982,5681716,89284,112,0,,,,,,,,,,42468,1148,0,0,0,0,0,0,0,0,397288,360148,67836,0,0,1410794,198772,60010160,11264704,0,0,0,0,395851680,17903.6,21190,6425992,9135256,5426966,2581666,6302138,6181570,4475004,2394302,1700280,8420,0,0
pos,1196158,0,16,36,0,0,0,0,0,1826,107070,224732,39710,9750,82,0,29339256,42010,0,0,4919338,6606936,55261860,53820358,12483778,4726782,0,0,1284,0,42,6,0,0,0,0,0,0,0,65706,317464,0,962,1142,960,1042,1062,374460,3542,0,0,0,137990,55182,47622,28054,21396,15604,12164,9638,5898,49622,72677642,34,308,306,2,29339256,674334,5011926,7440134,382540,240400,203940,299700,242260,196540,261540,280120,591420,1196158.11,72677642,72677642,71950290,2335,0,35534,1194740,68623358,1209600,10424,8,18,0,59816673.6,0,8752454.4,62,186,0,0,2654,44204,89972,52638,39012,36138,43954,74598,284,278,72677642,0,586,60,25076,35542,18542,266328,35378,1656,2,0,42,60,789444,314776,0,6010,0,0,822518,622,202,0,0,0,0,0,0,0,0,444482,1408,434,690156,107198,7460,1700,64360,7094,435882,110,0,0,0,191.98,190,76674,42322,18844,13454,36400,78564,98542,17622,748,0,0,0
